id	BP101	BP155	BP186	BP278	BP315	BP331
TIGR02333	1192	1062	70	1419	4244	1753
TIGR02332	6	1	0	13	24	12
TIGR02330	26	53	1	8	35	16
TIGR00780	803	724	56	883	2991	1098
TIGR00781	133	111	5	203	656	258
TIGR00782	158	113	4	241	1002	240
TIGR00785	219	192	8	385	1298	423
TIGR00786	292	308	22	387	1220	450
TIGR00787	8	10	7	4	4	8
TIGR00789	118	112	0	236	685	292
TIGR02003	38	16	0	0	4	4
TIGR02258	77	88	10	26	79	30
TIGR01786	1440	1334	45	1464	6363	2104
TIGR01785	1783	1645	77	2067	8879	2717
TIGR02002	38	18	0	0	4	4
TIGR01783	2721	2517	126	2227	9607	3373
TIGR01782	843	1040	28	321	1170	356
TIGR01780	2988	2953	203	3432	11733	4241
TIGR02252	6	0	0	2	32	19
TIGR02253	386	273	14	561	2099	713
TIGR02257	233	269	16	153	909	164
TIGR03873	5376	4841	398	6846	23471	8558
TIGR03300	186	211	2	238	1012	248
TIGR03303	972	813	30	1391	5445	1952
TIGR03302	99	127	7	164	464	190
TIGR03305	1806	1738	243	2048	5785	2569
TIGR03306	237	212	23	296	699	308
TIGR03308	27	22	0	12	49	19
TIGR00876	27	57	0	41	269	23
TIGR00877	296	227	14	345	1320	457
TIGR00874	264	243	14	438	1500	615
TIGR00875	134	116	6	278	872	323
TIGR00872	143	152	8	191	626	206
TIGR00873	99	107	4	30	104	16
TIGR02008	8	15	0	35	128	17
TIGR03240	2764	2724	203	3086	10426	3779
TIGR00878	349	302	18	394	1604	544
TIGR00879	29	24	2	59	171	33
TIGR03899	4	2	0	22	82	9
TIGR03890	79	55	6	118	498	140
TIGR03895	28	27	1	114	267	81
TIGR03896	27	22	0	48	108	98
TIGR01652	36	65	2	126	387	142
TIGR01657	104	112	9	186	767	222
TIGR00990	12	19	0	67	570	91
TIGR04171	9	12	1	13	156	25
TIGR00125	88	56	7	128	493	166
TIGR00127	3	11	0	17	29	17
TIGR00120	271	317	34	429	1502	576
TIGR00121	205	177	8	399	1164	331
TIGR00122	50	45	0	104	378	112
TIGR00128	508	482	18	687	2345	857
TIGR00129	151	163	6	113	485	197
TIGR01534	1086	933	58	1437	4743	1777
TIGR01535	72	57	0	2	12	23
TIGR01536	1399	1494	92	2098	7066	2563
TIGR01537	866	479	46	422	308	471
TIGR01530	48	25	0	4	46	20
TIGR01532	1028	881	53	1353	4475	1648
TIGR01539	1664	1113	43	1837	2531	1508
TIGR02469	0	0	0	6	34	9
TIGR00018	462	366	31	661	2486	996
TIGR00019	702	656	50	768	3189	1011
TIGR04001	4	4	2	6	16	11
TIGR02464	6	3	2	2	18	15
TIGR04005	150	112	9	96	711	145
TIGR00010	342	300	25	370	1151	445
TIGR02923	0	0	0	26	4	12
TIGR00012	75	108	6	164	462	167
TIGR04008	26	21	0	12	47	18
TIGR00014	135	72	2	94	389	170
TIGR02927	862	757	44	968	3935	1263
TIGR02924	186	154	8	216	611	196
TIGR00017	148	160	10	332	988	388
TIGR01228	61	97	7	17	64	36
TIGR01229	71	87	4	62	144	67
TIGR01221	144	120	2	165	587	213
TIGR01222	48	67	9	21	157	35
TIGR01224	206	127	3	256	963	312
TIGR01225	68	90	0	134	535	147
TIGR01226	41	65	0	110	434	107
TIGR01227	63	63	4	20	88	43
TIGR04317	191	153	3	220	972	275
TIGR04316	8392	7275	382	10573	37729	13790
TIGR03472	42	55	6	12	102	48
TIGR03471	0	0	0	21	124	17
TIGR03470	54	56	2	25	82	26
TIGR00305	27	29	0	23	76	42
TIGR00306	0	0	0	20	62	6
TIGR02547	0	0	0	0	23	2
TIGR03479	354	322	18	474	1655	575
TIGR03478	139	125	19	292	810	295
TIGR01318	896	801	74	1077	3849	1368
TIGR01314	30	15	0	4	62	32
TIGR01316	1011	934	82	1323	4526	1681
TIGR01317	738	705	63	986	3463	1181
TIGR01311	107	76	10	45	186	90
TIGR01312	74	58	6	26	117	61
TIGR01313	24	9	0	0	4	2
TIGR00370	9	32	0	21	91	10
TIGR04179	0	0	0	16	16	6
TIGR03789	313	314	23	365	1357	538
TIGR03788	591	548	12	901	3516	1002
TIGR02653	113	124	7	300	904	319
TIGR03785	1577	1367	96	1713	6357	2138
TIGR03784	136	99	1	146	600	228
TIGR03787	1269	1247	43	1456	4824	1605
TIGR04170	948	722	72	343	1056	511
TIGR04177	3	3	2	5	19	9
TIGR01166	4383	3967	333	5452	19715	6899
TIGR00376	0	0	0	37	30	0
TIGR00273	85	114	6	43	114	34
TIGR00274	32	47	0	18	123	17
TIGR00275	377	304	9	442	1477	536
TIGR00276	364	361	28	631	1913	588
TIGR00277	0	0	0	8	33	8
TIGR00278	242	157	11	268	946	376
TIGR01679	26	8	2	12	45	17
TIGR01001	28	49	2	31	85	27
TIGR01003	0	0	0	4	40	1
TIGR01005	252	193	6	363	1790	347
TIGR01007	559	429	25	717	2862	785
TIGR01008	331	329	35	409	1316	509
TIGR01009	429	428	41	538	1697	608
TIGR03097	196	210	17	229	1051	305
TIGR03099	307	270	18	582	2094	693
TIGR03098	4229	3776	268	5304	18679	7044
TIGR02786	12	18	0	70	157	76
TIGR03338	271	223	12	303	1005	344
TIGR02784	259	215	15	442	1199	478
TIGR02785	492	391	24	690	2073	750
TIGR02782	464	353	34	621	2424	705
TIGR03659	47	49	0	18	87	25
TIGR03654	418	327	29	565	1742	700
TIGR03653	267	172	13	325	1233	454
TIGR02788	520	404	35	744	2670	810
TIGR02789	239	202	8	315	984	429
TIGR03362	21	10	2	10	27	19
TIGR00663	332	390	19	540	2112	671
TIGR00661	145	91	4	138	634	233
TIGR00667	208	152	11	227	860	319
TIGR00665	870	790	37	1627	4756	1488
TIGR02435	326	224	16	339	1325	412
TIGR02436	0	1	0	12	35	9
TIGR02437	3609	3191	187	4591	15046	5452
TIGR02430	1394	1415	83	1742	7100	2439
TIGR02431	43	94	0	50	139	65
TIGR02432	194	168	8	234	853	325
TIGR02433	31	28	0	70	184	94
TIGR00461	840	768	82	1127	4053	1554
TIGR00460	288	278	5	430	1622	506
TIGR00463	571	602	48	764	2694	952
TIGR00462	1108	963	94	1285	3919	1685
TIGR00465	277	295	32	362	1084	373
TIGR00464	889	919	79	1315	4567	1629
TIGR00466	120	106	1	67	222	68
TIGR00469	322	216	14	274	837	328
TIGR00468	342	242	18	311	947	351
TIGR01822	335	352	14	445	1489	541
TIGR01823	883	864	36	1082	3779	1337
TIGR01820	848	780	33	1073	3625	1318
TIGR01821	325	342	14	438	1481	534
TIGR01826	28	66	3	13	68	16
TIGR01824	759	694	28	943	3159	1182
TIGR01825	325	341	14	436	1478	534
TIGR03266	8	12	0	10	71	13
TIGR03267	154	131	2	328	1380	409
TIGR01828	208	209	11	314	1069	327
TIGR01829	9662	8211	450	11958	42337	15670
TIGR03262	94	110	0	138	441	169
TIGR03263	442	398	45	519	1583	573
TIGR02320	257	259	17	362	1069	421
TIGR02321	257	259	17	362	1076	426
TIGR02322	55	44	0	12	73	22
TIGR02323	1955	1802	142	2436	8939	3165
TIGR02324	2670	2446	211	3250	11811	4223
TIGR02325	24	34	0	21	88	17
TIGR02326	24	48	1	63	191	42
TIGR02329	2532	2293	145	3107	10856	3885
TIGR00417	58	35	0	29	98	36
TIGR01798	784	713	59	974	3253	1127
TIGR01799	13	9	2	7	25	14
TIGR01791	13	9	2	7	25	14
TIGR01793	209	172	26	261	1018	358
TIGR01795	13	9	2	7	25	14
TIGR04347	53	57	2	90	353	73
TIGR02229	0	0	0	3	26	8
TIGR02225	1525	1502	563	1762	5504	1922
TIGR02224	1560	1560	558	1839	5603	2011
TIGR02227	225	158	10	368	1123	402
TIGR02226	5	11	0	25	41	18
TIGR02220	52	23	3	10	88	76
TIGR02223	45	37	4	52	302	93
TIGR02222	71	73	2	112	403	136
TIGR03864	4831	4462	332	6144	21918	7668
TIGR03865	1	1	0	9	31	11
TIGR03310	202	194	8	325	1098	393
TIGR03311	22	18	0	29	120	29
TIGR03316	171	209	13	239	1016	367
TIGR03317	111	130	0	217	638	242
TIGR03314	175	108	4	273	979	341
TIGR03863	0	0	0	64	201	46
TIGR00843	18	21	0	4	10	6
TIGR00842	106	131	6	76	189	43
TIGR00841	11	15	4	113	318	82
TIGR03423	846	653	30	1044	4014	1254
TIGR03868	52	41	2	13	72	43
TIGR03869	201	216	12	332	1243	378
TIGR00689	4	2	0	12	69	9
TIGR00688	22	25	0	6	37	8
TIGR00683	225	297	12	451	1553	466
TIGR00682	100	109	8	106	309	162
TIGR00684	0	0	0	22	68	9
TIGR00686	73	65	7	70	327	120
TIGR02823	571	507	29	818	2545	1130
TIGR03881	69	45	0	84	282	91
TIGR02822	841	626	68	858	3079	1020
TIGR00547	2	2	0	8	50	10
TIGR00652	200	185	3	296	937	290
TIGR02133	4	2	0	12	70	11
TIGR02135	124	151	8	180	662	202
TIGR02134	13	11	2	45	130	43
TIGR02137	211	138	20	275	773	328
TIGR02136	451	361	10	681	2599	849
TIGR01642	70	69	3	49	187	84
TIGR01643	23	30	3	47	276	69
TIGR01641	90	8	0	42	217	190
TIGR01646	134	141	19	56	266	103
TIGR01647	479	435	20	800	3011	886
TIGR04014	497	445	45	750	2381	759
TIGR04016	357	300	14	359	1255	459
TIGR04017	116	131	13	251	935	223
TIGR00069	60	68	4	147	312	87
TIGR00068	325	297	4	310	1140	446
TIGR04013	499	453	46	755	2355	766
TIGR02917	1111	1244	31	1563	7665	1765
TIGR02916	2577	2130	97	3583	13565	4421
TIGR02915	2980	2642	170	3636	12879	4373
TIGR00066	485	455	28	652	2428	932
TIGR02913	5	16	0	3	30	5
TIGR00060	222	182	11	232	827	239
TIGR00063	542	436	6	575	1711	659
TIGR00062	178	147	7	165	643	158
TIGR01259	61	78	2	149	419	144
TIGR01255	2	0	0	23	100	6
TIGR01257	1556	1368	104	2041	7927	2641
TIGR01256	185	270	3	187	1007	255
TIGR01251	368	376	27	721	2549	872
TIGR01250	46	55	3	49	154	61
TIGR01499	216	237	10	326	1301	452
TIGR01498	207	182	16	256	837	335
TIGR01491	127	75	9	229	885	257
TIGR01490	305	253	12	589	2274	691
TIGR01497	191	186	8	228	883	270
TIGR01496	187	151	10	377	1015	375
TIGR01494	363	312	12	441	1569	510
TIGR03468	17	32	2	15	43	22
TIGR03469	80	70	8	108	476	138
TIGR03461	270	290	7	510	1846	570
TIGR04303	52	57	2	73	291	66
TIGR03466	166	201	23	204	574	238
TIGR01740	203	183	14	256	896	326
TIGR01746	0	0	0	11	70	21
TIGR03799	173	111	5	208	519	152
TIGR03796	4454	3907	290	5330	19115	6784
TIGR03797	4478	3956	283	5323	18486	6537
TIGR03794	8	11	0	104	185	57
TIGR04167	359	297	4	433	1560	557
TIGR03790	0	0	0	8	38	8
TIGR03791	116	43	1	182	642	234
TIGR00205	44	88	0	108	338	152
TIGR00204	996	864	91	1419	4877	1759
TIGR00207	311	239	12	489	1434	557
TIGR00206	234	199	5	315	1156	366
TIGR00201	167	147	16	211	1124	396
TIGR00200	560	416	35	781	2351	823
TIGR00203	2	7	0	6	14	16
TIGR00202	198	200	7	240	749	291
TIGR00209	0	0	0	0	40	10
TIGR00208	290	231	2	347	1131	356
TIGR01075	805	665	47	874	3089	1062
TIGR01074	733	592	41	765	2711	929
TIGR01071	172	130	5	258	773	289
TIGR01070	825	660	64	1093	3700	1172
TIGR01073	835	683	47	892	3198	1102
TIGR02295	37	53	2	42	82	38
TIGR01079	27	51	1	82	244	107
TIGR01078	1	0	0	0	20	4
TIGR02297	9	26	0	11	78	11
TIGR00530	257	259	19	422	1277	444
TIGR01683	0	0	0	22	48	18
TIGR04239	208	187	9	309	908	311
TIGR01984	3280	4548	1818	3687	14879	3508
TIGR03083	45	32	2	19	91	41
TIGR03080	205	211	7	230	923	293
TIGR03081	51	60	0	66	333	95
TIGR03087	438	384	46	599	2189	825
TIGR03084	112	77	4	68	195	106
TIGR03088	792	740	58	994	4310	1315
TIGR03640	58	41	6	120	750	160
TIGR00518	735	625	25	883	3340	1191
TIGR00668	150	136	5	257	1062	274
TIGR03644	1333	1183	128	1847	6054	1934
TIGR03646	101	100	7	204	697	331
TIGR03647	87	65	4	79	214	80
TIGR03648	1023	876	54	1125	3223	1399
TIGR00510	487	352	11	581	1513	668
TIGR00513	443	328	35	488	1694	663
TIGR00512	0	0	0	17	51	14
TIGR00515	301	284	17	396	1479	585
TIGR00838	792	560	53	998	3148	1179
TIGR00517	71	62	4	120	281	164
TIGR00516	91	74	6	146	418	116
TIGR01109	928	636	31	977	2994	1165
TIGR01108	557	559	15	809	2584	1054
TIGR01103	361	251	10	385	1481	538
TIGR01102	343	243	10	386	1489	534
TIGR01105	281	274	10	442	1242	452
TIGR01104	266	221	15	339	788	328
TIGR01106	214	221	9	335	1276	387
TIGR00674	390	386	13	632	2258	658
TIGR00675	404	306	20	209	633	481
TIGR00676	452	435	12	589	2276	876
TIGR00677	453	436	12	590	2278	878
TIGR00670	308	311	20	381	1520	605
TIGR00671	109	100	0	75	324	61
TIGR00678	331	260	24	420	1416	458
TIGR00472	744	736	37	1078	3938	1321
TIGR00473	184	186	20	195	936	273
TIGR00471	49	38	6	60	240	63
TIGR00476	178	152	4	349	1208	453
TIGR00477	29	27	0	11	28	17
TIGR00474	0	0	0	48	256	56
TIGR00475	2661	2619	461	2654	7716	3415
TIGR02685	2941	2657	129	3518	12210	4713
TIGR00479	337	217	5	351	1511	506
TIGR02683	2	2	0	33	74	38
TIGR02681	313	158	38	23	74	200
TIGR03455	19	19	0	25	100	14
TIGR00835	456	470	30	594	1979	682
TIGR04337	0	4	4	9	47	20
TIGR03007	669	473	35	636	2699	898
TIGR03253	4766	3948	211	5789	17762	7430
TIGR01816	1886	1453	97	2009	6503	2357
TIGR01815	889	879	37	1107	3837	1372
TIGR03250	2661	2679	190	3036	10297	3720
TIGR01813	1008	779	48	1113	3439	1245
TIGR01812	1884	1454	97	2021	6544	2364
TIGR01811	1707	1321	91	1846	5901	2134
TIGR01810	264	316	12	142	566	141
TIGR03258	4218	3897	299	5181	18384	6573
TIGR01819	330	316	9	377	1338	551
TIGR01818	5469	4719	267	6523	22528	7894
TIGR02355	340	389	25	442	1880	595
TIGR02354	239	262	13	357	1440	433
TIGR02356	337	383	25	436	1870	591
TIGR02350	1457	1317	117	1850	5885	2481
TIGR02353	15	31	2	25	149	60
TIGR02352	265	286	11	149	652	171
TIGR03193	1	2	0	2	40	9
TIGR02237	129	101	5	127	436	165
TIGR03327	91	72	2	177	586	169
TIGR03326	2	0	1	1	41	14
TIGR03325	4102	3560	189	4866	17696	6422
TIGR03324	2099	2045	394	2330	6684	2865
TIGR03323	246	247	11	369	1248	398
TIGR03321	2	1	1	41	153	36
TIGR00855	345	337	29	451	1494	631
TIGR00856	369	336	15	679	2067	682
TIGR00857	62	77	0	129	342	127
TIGR00852	34	14	0	0	3	4
TIGR00698	0	0	0	16	105	32
TIGR00699	171	190	12	325	1159	397
TIGR00692	2235	1716	136	2551	8498	3219
TIGR00693	55	78	0	29	121	48
TIGR00690	71	96	48	94	410	85
TIGR00691	1349	1430	86	1621	6018	2115
TIGR00696	17	28	2	5	25	10
TIGR00697	9	2	0	19	73	13
TIGR04030	6	2	0	16	68	14
TIGR02510	334	275	15	379	958	400
TIGR02122	7	8	0	33	58	14
TIGR02123	9	19	0	68	121	57
TIGR02120	778	650	30	1023	3481	1252
TIGR02121	708	516	38	740	2089	1025
TIGR02127	3	3	4	7	34	12
TIGR02124	155	133	2	336	1348	410
TIGR01678	200	174	12	260	935	336
TIGR01676	28	9	2	14	46	17
TIGR02129	4	8	0	10	85	18
TIGR01670	70	82	1	99	293	101
TIGR02902	301	250	12	463	1501	514
TIGR02903	393	309	16	554	1890	641
TIGR00078	237	185	10	319	1479	511
TIGR00079	277	176	6	254	1051	255
TIGR00077	87	121	11	178	501	163
TIGR00074	0	0	0	4	35	9
TIGR03269	3127	2824	240	3879	13939	4841
TIGR00072	2	2	0	6	19	4
TIGR00073	6	4	0	31	14	21
TIGR00070	71	92	3	108	408	126
TIGR00071	250	229	15	323	1477	625
TIGR01249	207	164	14	164	613	195
TIGR01246	544	558	24	752	2378	840
TIGR01247	215	149	16	313	942	319
TIGR01244	31	8	0	62	292	78
TIGR01245	432	276	22	553	1690	567
TIGR01242	646	594	60	816	2641	936
TIGR01243	667	609	63	838	2734	964
TIGR01240	25	19	0	0	2	0
TIGR01241	1187	1022	84	1553	5145	1820
TIGR03265	5244	4873	356	6679	23465	8372
TIGR01488	323	233	12	538	2108	655
TIGR01484	52	20	0	10	46	9
TIGR01486	52	20	0	2	2	6
TIGR01480	39	55	0	38	109	63
TIGR01481	318	245	2	60	214	88
TIGR03147	4	6	7	3	68	9
TIGR03419	6	11	0	47	142	31
TIGR03418	1142	1191	55	818	2993	1109
TIGR03415	3285	3050	245	4209	15141	5352
TIGR03417	466	498	127	262	1178	311
TIGR03416	1	1	0	26	138	9
TIGR03411	3867	3473	253	4563	16729	5825
TIGR03410	4441	4119	318	5512	19683	6940
TIGR03413	691	534	22	826	2825	1067
TIGR03412	122	101	5	131	348	153
TIGR03903	609	524	33	446	1858	638
TIGR00042	82	86	7	160	515	205
TIGR02977	85	84	7	14	85	29
TIGR03521	0	0	0	10	22	3
TIGR03520	951	673	33	1175	3707	1456
TIGR03523	0	0	0	6	36	6
TIGR03522	3617	3297	221	4355	16363	5601
TIGR03525	108	75	1	244	815	241
TIGR03524	83	71	0	184	584	186
TIGR03526	276	285	14	378	1211	392
TIGR03529	110	77	1	279	755	261
TIGR03528	126	94	6	155	509	237
TIGR02970	22	23	1	34	153	48
TIGR00216	286	197	18	403	1518	527
TIGR00217	6	26	1	32	251	21
TIGR00214	138	79	2	103	417	134
TIGR00215	351	388	4	636	1930	622
TIGR00212	217	154	19	335	1153	358
TIGR00213	62	48	4	121	256	91
TIGR00210	333	256	17	224	547	240
TIGR00211	281	291	31	412	1502	445
TIGR00219	167	166	9	307	1008	333
TIGR01066	125	100	13	166	624	148
TIGR01067	448	320	16	518	1599	529
TIGR01064	273	222	14	338	1015	381
TIGR01065	128	118	5	113	331	189
TIGR01062	1433	1126	119	1747	5616	2066
TIGR01063	1500	1217	109	1736	5460	2030
TIGR01060	653	548	42	751	2761	1044
TIGR01061	1356	1128	107	1545	4872	1800
TIGR01068	353	335	21	535	1733	540
TIGR01069	302	200	28	369	1103	380
TIGR03635	142	105	12	197	687	249
TIGR00508	1346	1171	60	1922	7479	2276
TIGR00509	193	124	9	243	848	254
TIGR03631	361	375	30	436	1385	412
TIGR03630	93	69	0	88	443	146
TIGR03632	215	227	26	387	1044	342
TIGR00503	1955	1953	230	2267	7367	2856
TIGR00500	516	395	35	607	2075	776
TIGR00501	80	38	12	77	232	120
TIGR00506	279	157	21	356	1368	458
TIGR00507	197	219	24	328	1230	342
TIGR00505	299	305	8	316	1357	366
TIGR01118	4	2	0	12	69	9
TIGR01119	0	2	0	10	29	4
TIGR01116	286	283	14	655	2526	690
TIGR01117	876	772	58	1151	3743	1523
TIGR00447	36	23	2	40	93	41
TIGR00446	295	230	11	399	1437	480
TIGR00445	538	475	42	638	1873	637
TIGR02693	286	286	25	461	1736	621
TIGR00443	725	700	47	872	3033	1185
TIGR00442	667	588	41	750	2804	1075
TIGR02696	926	842	76	925	3163	1324
TIGR00440	508	415	44	597	2389	787
TIGR03740	3776	3375	252	4620	17321	6007
TIGR03743	87	107	3	38	141	75
TIGR03744	101	151	1	115	248	151
TIGR00449	726	537	87	612	1978	757
TIGR03746	5	10	0	8	12	8
TIGR01809	112	130	2	149	587	185
TIGR01800	731	668	67	967	3244	1120
TIGR01801	67	60	3	41	232	80
TIGR01804	3181	3136	223	3694	12549	4531
TIGR01805	13	9	2	7	25	14
TIGR01806	32	50	0	144	477	168
TIGR01807	60	52	2	38	217	74
TIGR03244	25	32	0	6	40	11
TIGR03245	25	32	0	6	40	11
TIGR03246	1065	980	51	1585	6124	1829
TIGR00999	1276	1110	71	1720	6696	2120
TIGR00998	580	635	36	962	3982	1001
TIGR03242	35	50	0	12	69	19
TIGR03243	25	32	0	6	40	11
TIGR00997	0	0	0	6	23	1
TIGR00996	10	10	0	61	253	37
TIGR03248	73	132	8	46	121	33
TIGR03249	146	209	9	417	1356	374
TIGR02347	102	136	10	134	420	224
TIGR02345	55	94	7	98	286	134
TIGR02343	47	48	11	45	113	68
TIGR02348	1139	1213	111	1187	3510	1553
TIGR02349	539	584	24	909	2859	1082
TIGR02203	4347	3875	255	5313	18522	6757
TIGR03339	1279	1257	51	1335	4294	1566
TIGR02201	52	58	10	17	112	43
TIGR02207	219	174	8	333	1345	453
TIGR02205	285	230	9	454	1566	470
TIGR02204	4272	3822	245	5138	18014	6550
TIGR03330	0	0	0	4	20	10
TIGR03331	14	37	0	17	88	15
TIGR02209	5	19	0	22	123	21
TIGR02208	127	116	6	301	1193	357
TIGR03334	0	0	0	1	14	0
TIGR03335	14	20	2	7	35	8
TIGR03336	253	198	1	383	1197	417
TIGR03825	0	0	0	8	36	7
TIGR03866	29	27	2	66	310	48
TIGR03019	162	136	15	195	874	289
TIGR00848	199	145	12	219	723	278
TIGR03860	47	45	3	77	223	99
TIGR03861	0	3	2	21	145	18
TIGR01660	115	108	23	311	872	319
TIGR02116	193	199	21	276	848	354
TIGR01662	94	96	4	227	422	175
TIGR02113	210	208	9	223	930	276
TIGR02111	77	120	6	70	283	57
TIGR02110	444	371	25	713	2466	851
TIGR03315	986	852	70	1141	3993	1500
TIGR02119	619	465	34	636	1787	879
TIGR00840	121	101	6	133	503	190
TIGR00847	99	83	6	63	251	121
TIGR03072	411	465	37	535	1930	662
TIGR03070	0	1	0	3	8	13
TIGR02801	392	370	31	395	1473	462
TIGR03407	86	55	2	26	68	54
TIGR02803	324	296	25	275	1097	341
TIGR00043	169	164	8	212	757	265
TIGR02974	1973	1717	124	2400	8153	3028
TIGR00041	627	561	29	424	1519	861
TIGR03405	493	442	12	449	1444	427
TIGR02971	128	128	7	188	790	185
TIGR00046	287	220	6	358	1138	370
TIGR00044	483	473	16	740	2197	807
TIGR02805	184	170	12	233	908	285
TIGR00049	201	187	22	315	1097	410
TIGR00048	531	396	30	654	2276	768
TIGR02978	0	1	0	12	18	8
TIGR02804	186	202	18	243	927	265
TIGR01273	9	4	0	83	105	44
TIGR01272	23	68	2	47	143	53
TIGR01271	878	753	48	945	3186	1205
TIGR01270	19	45	2	36	45	23
TIGR01277	3806	3395	270	4726	16569	5841
TIGR02807	0	0	0	10	57	9
TIGR01275	341	280	14	398	1128	521
TIGR01274	320	255	12	368	1094	504
TIGR01470	257	230	16	328	1001	424
TIGR01473	152	197	7	219	888	297
TIGR01472	267	201	21	323	1388	442
TIGR01475	94	123	3	115	487	119
TIGR01474	278	267	10	393	1518	528
TIGR01479	570	481	43	760	2628	921
TIGR03408	56	27	3	63	119	64
TIGR03409	67	65	4	37	110	49
TIGR03406	66	54	0	27	59	30
TIGR02800	331	304	13	537	1822	634
TIGR04364	80	83	0	188	475	190
TIGR02802	367	366	25	434	1704	633
TIGR03402	704	601	34	872	2465	859
TIGR03403	645	540	33	801	2313	797
TIGR03400	1	7	0	10	30	21
TIGR00195	537	530	36	812	2758	1060
TIGR00194	606	511	25	720	2655	992
TIGR00197	93	99	0	161	562	158
TIGR00196	156	139	7	331	1070	271
TIGR00191	48	58	7	48	145	41
TIGR00190	525	484	63	461	1827	510
TIGR00199	166	142	21	283	941	316
TIGR01587	20	6	0	26	96	22
TIGR01581	115	137	2	159	550	218
TIGR01580	142	148	6	588	1309	488
TIGR01582	122	109	5	185	550	210
TIGR01588	302	368	16	471	1542	552
TIGR04182	15	22	0	32	246	33
TIGR04183	0	2	0	17	56	11
TIGR04180	1142	1122	75	1524	5046	1963
TIGR04181	29	17	0	121	547	78
TIGR04188	0	1	0	23	32	4
TIGR04189	4	5	2	26	139	41
TIGR03532	452	390	15	521	1907	678
TIGR03533	354	290	11	554	1785	589
TIGR00229	1892	1599	152	2208	8060	2801
TIGR04211	146	113	2	204	794	243
TIGR03536	503	382	19	507	1657	666
TIGR03537	711	570	49	995	3211	1226
TIGR03534	417	350	17	539	1767	599
TIGR03535	503	378	19	507	1655	666
TIGR00223	162	227	9	185	704	233
TIGR00222	441	293	2	572	1748	634
TIGR03538	705	568	42	948	3170	1218
TIGR04219	19	34	0	16	79	9
TIGR00227	232	264	9	419	1357	363
TIGR00225	471	505	18	771	2704	950
TIGR00224	451	405	40	567	1637	674
TIGR01059	1961	1734	136	2598	8000	3192
TIGR01058	1547	1403	109	2161	6576	2637
TIGR01051	44612	78462	44046	30613	98295	26641
TIGR01050	35	28	13	95	256	109
TIGR01057	44497	78395	44043	30512	98099	26483
TIGR01056	44481	78456	44042	30601	98365	26523
TIGR01055	1614	1440	113	2278	6963	2733
TIGR01054	615	445	33	624	2054	698
TIGR01298	378	263	11	430	1631	428
TIGR01291	0	0	0	51	121	18
TIGR01293	310	299	16	443	1665	654
TIGR01292	1039	824	61	1579	5056	1820
TIGR01297	367	321	12	472	1483	546
TIGR01296	225	244	23	407	1450	459
TIGR02590	7	12	2	49	327	42
TIGR02594	0	0	0	14	17	4
TIGR02753	8	6	0	6	68	4
TIGR02752	475	409	13	541	1574	626
TIGR03626	6	22	0	13	52	24
TIGR03627	93	70	7	105	440	159
TIGR03625	148	196	14	290	712	297
TIGR03622	67	65	4	37	110	49
TIGR03623	430	332	9	673	2464	826
TIGR00539	240	247	10	324	1213	351
TIGR03621	1522	1184	64	1960	5456	2347
TIGR00537	96	96	4	103	359	129
TIGR00536	425	349	13	568	1897	629
TIGR00533	2	7	0	20	51	23
TIGR00532	24	28	0	2	5	2
TIGR00531	277	270	42	399	1281	541
TIGR03629	146	162	17	191	608	205
TIGR01987	0	0	0	36	76	9
TIGR01129	291	234	15	344	1111	394
TIGR01128	233	151	18	371	1269	386
TIGR01127	779	579	52	901	3293	1160
TIGR01126	321	305	19	518	1618	506
TIGR01125	778	683	97	1087	3694	1181
TIGR01124	826	729	39	1088	3961	1318
TIGR01123	109	134	7	209	817	300
TIGR01122	268	293	16	383	1364	518
TIGR01121	145	137	1	302	1193	374
TIGR01120	4	2	0	12	69	9
TIGR00458	820	756	82	885	2929	1275
TIGR00459	723	655	79	776	2564	1136
TIGR00450	515	494	15	982	3018	974
TIGR00452	409	283	10	472	1501	668
TIGR00453	296	207	3	463	1533	496
TIGR00455	389	383	16	492	1535	561
TIGR00456	239	237	3	316	1165	364
TIGR00457	207	275	31	353	1089	383
TIGR03758	15	11	0	31	70	45
TIGR03759	61	75	2	33	97	50
TIGR03750	19	21	0	11	13	19
TIGR03751	39	28	0	8	53	43
TIGR03756	48	54	6	16	61	41
TIGR03754	87	107	3	38	141	75
TIGR03755	48	56	0	20	100	69
TIGR02139	95	119	0	144	461	182
TIGR02138	274	301	12	454	1566	539
TIGR03111	294	278	24	384	1401	500
TIGR01876	4	2	0	9	26	4
TIGR01873	13	12	0	3	8	4
TIGR01768	2	4	0	5	25	4
TIGR02976	21	35	0	3	14	14
TIGR02379	22	11	0	109	492	68
TIGR02378	145	125	4	190	527	232
TIGR00988	292	198	12	265	1097	439
TIGR02372	248	213	32	383	1748	501
TIGR02371	73	104	4	42	123	26
TIGR02370	193	186	38	273	853	400
TIGR00982	46	38	4	104	180	76
TIGR02376	8	12	1	6	63	11
TIGR02375	4	4	0	2	69	7
TIGR02374	1939	1713	90	2859	9356	3252
TIGR02571	27	9	0	948	341	202
TIGR02574	8	8	0	5	84	30
TIGR02577	0	0	0	6	67	15
TIGR02169	651	528	53	820	2459	827
TIGR02214	603	455	23	781	3024	890
TIGR01900	420	463	28	609	1945	628
TIGR01902	248	252	13	335	1006	347
TIGR02210	503	506	26	849	2803	917
TIGR03348	176	208	19	73	262	136
