id	BP101	BP155	BP186	BP278	BP315	BP331
TIGR04095	136	114	7	40	373	104
TIGR04091	0	0	0	30	122	21
TIGR04093	58	41	6	118	738	149
TIGR01097	67	78	4	24	122	41
TIGR01096	336	312	17	285	1480	410
TIGR01092	898	845	40	1221	4127	1316
TIGR01091	17	34	0	26	71	12
TIGR01090	20	16	2	8	84	16
TIGR01099	303	297	8	426	1196	451
TIGR01098	91	133	7	152	1000	213
TIGR01990	9	32	7	90	435	64
TIGR02918	42	32	9	20	69	29
TIGR02719	43	37	2	62	235	78
TIGR02718	122	134	5	181	581	210
TIGR02715	246	211	26	322	1015	366
TIGR02717	189	228	27	396	1166	465
TIGR02711	277	296	15	295	845	318
TIGR02713	187	156	24	252	766	261
TIGR02712	859	838	64	945	3372	1316
TIGR00573	583	510	19	495	1584	800
TIGR00571	10	5	0	102	224	26
TIGR01995	57	22	0	0	6	2
TIGR00577	339	426	22	630	2334	729
TIGR00576	1056	760	43	195	312	605
TIGR00575	583	554	37	987	2911	1259
TIGR00379	17	43	2	51	208	32
TIGR01169	401	297	26	550	1764	698
TIGR01163	393	277	14	392	1181	419
TIGR01162	10	11	5	38	130	38
TIGR01161	13	4	6	51	159	79
TIGR00372	3	20	0	69	424	97
TIGR00374	0	0	0	10	30	6
TIGR00377	41	93	2	20	90	26
TIGR01164	276	311	45	377	1065	442
TIGR01369	609	564	66	756	2475	879
TIGR01368	474	442	42	543	2058	728
TIGR03564	1960	1517	70	2662	7956	3162
TIGR01361	312	292	8	576	1728	584
TIGR01360	154	136	14	193	514	240
TIGR01362	485	447	10	797	2477	913
TIGR01365	598	408	25	717	2818	830
TIGR01364	28	36	4	123	398	100
TIGR01367	81	101	0	164	634	236
TIGR01366	428	296	19	542	2121	617
TIGR00414	612	595	26	663	2443	885
TIGR00416	498	391	30	742	2186	771
TIGR02622	582	467	29	657	2212	853
TIGR03563	0	0	0	11	75	15
TIGR00412	0	1	0	4	45	5
TIGR00413	196	156	12	350	896	280
TIGR02628	0	0	0	2	54	22
TIGR04242	156	170	12	168	432	232
TIGR00418	803	749	80	864	2988	1198
TIGR00419	178	168	13	281	1110	377
TIGR03716	0	1	4	27	22	14
TIGR03714	780	731	66	981	3866	1215
TIGR02689	0	0	0	11	57	3
TIGR03710	485	357	15	717	2806	958
TIGR00319	0	0	0	2	7	2
TIGR03719	3824	3578	254	4541	15787	5793
TIGR04321	2	0	0	30	101	28
TIGR02684	13	14	2	48	76	49
TIGR00708	73	122	4	40	193	36
TIGR00709	1025	925	48	1461	5770	1735
TIGR00700	1122	985	48	1626	6352	1938
TIGR00701	192	173	7	329	1294	384
TIGR00702	104	95	9	46	273	88
TIGR03030	62	52	0	28	163	110
TIGR00704	87	63	0	283	952	282
TIGR00705	1060	915	57	1263	3926	1436
TIGR00706	957	690	37	1196	3106	1180
TIGR00707	1283	1175	56	1885	7300	2216
TIGR02535	0	0	0	20	62	6
TIGR04329	58	41	6	118	733	145
TIGR02533	1320	1022	81	1665	6162	1999
TIGR02532	14	6	0	10	75	20
TIGR03002	101	55	2	147	506	141
TIGR03003	0	0	0	3	40	6
TIGR03006	271	290	20	463	1429	551
TIGR02538	1307	1036	88	1734	6673	2014
TIGR03004	7	5	0	17	71	13
TIGR03005	4149	3789	285	5012	17409	6297
TIGR01949	0	0	0	4	55	2
